Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2021-01-04,126.40523529052734,130.50771259087762,123.8167640988133,130.4198058762155,143301900
2021-01-05,127.96806335449219,128.6811241595061,125.44796678465465,125.8972925672046,97664900
2021-01-06,123.66048431396484,128.00716462914988,123.44559128213457,124.75448181589701,155088000
2021-01-07,127.88018035888672,128.57370150076903,124.89123256509167,125.37962311713653,109578200
2021-01-08,128.9839324951172,129.55046725691102,127.20618394212671,129.35509913564104,105158200
2021-01-11,125.98521423339844,127.1475860544949,125.51636350795053,126.1903448095608,100384500
2021-01-12,125.80941009521484,126.678744687946,123.91445235489151,125.51637278097465,91951100
2021-01-13,127.85089874267578,128.39789386448626,125.5066296764882,125.77034988589732,88636800
2021-01-14,125.91685485839844,127.95832377513628,125.77032875107238,127.76297053653161,90221800
2021-01-15,124.18795013427734,127.1964377514296,124.05120137461118,125.78987056372236,111598500
2021-01-19,124.86193084716797,125.72150299180522,123.99259625706779,124.8130888108596,90757300
2021-01-20,128.9644012451172,129.4137270875099,125.56520735367549,125.67265386569356,104319500
2021-01-21,133.69200134277344,136.42699093223655,130.48816107938626,130.69329163300603,120150900
2021-01-22,135.8409423828125,136.60283037919487,131.88497630652225,133.1157150150256,114459400
2021-01-25,139.6015625,141.72117584234562,133.3696938895246,139.74808861764467,157611700
2021-01-26,139.83599853515625,140.9495284939652,138.08755186106706,140.2657846428541,98390600
2021-01-27,138.76150512695312,140.94949991131097,137.14982245441175,140.0996903145117,140843800
2021-01-28,133.9069061279297,138.6931420569465,133.52596212723918,136.28049175107478,142621100
2021-01-29,128.89601135253906,133.56502276186197,127.18664481426623,132.67614858488167,177523800
2021-02-01,131.02540588378906,132.2366197184336,127.88993224067084,130.6444618808397,106239800
2021-02-02,131.8556671142578,133.14501023071227,131.4844855801371,132.57847548555233,83305400
2021-02-03,130.830078125,132.6175895343007,130.5077385359951,132.60781218328634,89880900
2021-02-04,134.19998168945312,134.20974413679528,131.46499107917862,133.1352936536694,84183100
2021-02-05,133.78421020507812,134.4298527337004,132.9037994309717,134.361383637691,75693800
2021-02-08,133.93092346191406,133.97983847702403,131.98421930396577,133.0700669616327,71297200
2021-02-09,133.05052185058594,134.87984224201634,132.89401467161727,133.64724931778963,76774200
2021-02-10,132.44400024414062,134.00919124583916,131.4755366325783,133.51027896407933,73046600
2021-02-11,132.18963623046875,133.42221381866224,130.8592286269798,132.94287062653802,64280000
2021-02-12,132.42442321777344,132.58094529380088,130.78098619978562,131.42662856832374,60145100
2021-02-16,130.29190063476562,133.05053205788187,129.9005953404001,132.54185756536273,80576300
2021-02-17,127.99297332763672,129.34294988756938,126.65278872506047,128.39405548337965,97918500
2021-02-18,126.8875961303711,127.17127933958186,124.63763974131737,126.38868386598486,96856700
2021-02-19,127.04411315917969,127.86584668005416,125.99740338670905,127.40607236333011,87668800
2021-02-22,123.25833892822266,126.89739584310223,122.86704112148782,125.22459753272622,103916400
2021-02-23,123.1213607788086,123.95286378441952,115.8139024055986,121.06705704042179,158273000
2021-02-24,122.6224594116211,122.82788904485355,119.57035347401501,122.22138464103878,111039900
2021-02-25,118.3573226928711,123.70829972436195,117.91711742835099,121.96703273011528,148199500
2021-02-26,118.6214599609375,122.13334021289873,118.56276044849312,119.92251431654658,164560400
2021-03-01,125.00936889648438,125.14632198530556,120.11816582891734,121.05727592228418,116307900
2021-03-02,122.3974609375,125.91912544308468,122.28985387937136,125.61587325929479,102260900
2021-03-03,119.40404510498047,122.97462478338886,119.18883097909638,122.09420675176463,112966300
2021-03-04,117.51603698730469,120.91053295934665,116.03889910024034,119.10078939752296,178155000
2021-03-05,118.77796936035156,119.28665864113772,115.01174462231236,118.34754858051326,153766600
2021-03-08,113.82807159423828,118.36710717306019,113.68133401828926,118.29863063273507,154376600
2021-03-09,118.45514678955078,119.40404133459487,116.20519796131644,116.43997360787498,129525800
2021-03-10,117.36931610107422,119.51165804272296,116.85084228896541,119.04210671169741,111943300
2021-03-11,119.30622100830078,120.52902174116306,118.62145558325126,119.87360233956089,103026500
2021-03-12,118.3964614868164,118.5334145770574,116.5671562971472,117.78017258073191,88105100
2021-03-15,121.29206085205078,121.30184534868131,117.79974189337008,118.76820554841954,92403800
2021-03-16,122.83766174316406,124.45176009312186,122.0061587942109,122.9648303238896,115227900
2021-03-17,122.04530334472656,123.12136654730853,119.67795534298575,121.35075339157471,111932600
2021-03-18,117.90734100341797,120.4996801450081,117.7019113683554,120.20620497298519,121229700
2021-03-19,117.37909698486328,118.787765950923,117.07584476265258,117.2910589061766,185549500
2021-03-22,120.70511627197266,121.17467507978692,117.64322564652812,117.71170219523187,111912300
2021-03-23,119.87361145019531,121.53661758792646,119.4823136932633,120.64642246770546,95467100
2021-03-24,117.4769287109375,120.22579030818369,117.45736717972252,120.14752925655445,88530500
2021-03-25,117.96604919433594,119.01277396820035,116.41064997457923,116.93890087847339,98844700
2021-03-26,118.57255554199219,118.8366847131395,116.3323834208923,117.731267934474,94071200
2021-03-29,118.7486343383789,119.91274312400247,118.10299937711603,119.00297900233532,80819200
2021-03-30,117.29105377197266,117.78017409006814,116.27368261472802,117.49648340996671,85671900
2021-03-31,119.49210357666016,120.83228856558793,118.51386287192022,119.00298322429019,118323800
2021-04-01,120.32360076904297,121.47792504243581,119.82469594439944,120.96924318486211,75089100
2021-04-05,123.16049194335938,123.41483658685715,120.3920692786332,121.17466473706477,88651200
2021-04-06,123.46373748779297,124.36371699214183,122.91592517442983,123.7474281396083,80171300
2021-04-07,125.11698150634766,125.13654303559613,122.417035203639,123.09202364516216,83466700
2021-04-08,127.52346801757812,127.5528140466846,125.72350857412272,126.14414494249527,88844600
2021-04-09,130.1060028076172,130.14512586474413,126.65281460393234,126.97563580060692,106686700
2021-04-12,128.38430786132812,129.9592758997672,127.78758046970171,129.6364546951069,91420000
2021-04-13,131.5048828125,131.7298889082425,129.05928119869824,129.5581934810451,91266500
2021-04-14,129.15711975097656,132.06249585390395,128.79517546483183,132.0038037995852,87222800
2021-04-15,131.57337951660156,132.06249988655176,130.73209188321647,130.90818297831848,89347100
2021-04-16,131.24075317382812,131.7396504708216,130.37989673029497,131.37770625104787,84922400
2021-04-19,131.9059600830078,132.52225644299975,130.4385991700877,130.60489828233995,94264200
2021-04-20,130.213623046875,132.5809638018916,128.9419071234644,132.0820664075215,94812300
2021-04-21,130.59510803222656,130.83966815962773,128.44298189644934,129.47991444834784,68847100
2021-04-22,129.06906127929688,131.23096454793503,128.55059497902982,130.14511693427332,84566500
2021-04-23,131.3972930908203,132.17987368023367,129.2842896751612,129.2842896751612,78657500
2021-04-26,131.78857421875,132.12117243879302,130.65381154555584,131.89618128132474,66905100
2021-04-27,131.46571350097656,132.46352278784414,131.19180741074035,132.07221771124784,66015800
2021-04-28,130.67340087890625,132.08206994398435,130.1842805050191,131.38751244528612,107760100
2021-04-29,130.57557678222656,134.08747257107711,129.56798996025657,133.50052212496433,151101000
2021-04-30,128.59950256347656,130.65379865527194,128.2179893659456,128.91253176123163,109839500
2021-05-03,129.656005859375,131.1527277481315,128.96146337467013,129.16688554691402,75135100
2021-05-04,125.06806945800781,128.6288723998823,123.9430911832169,128.3353972104989,137564700
2021-05-05,125.31263732910156,127.61149397563412,125.18546126388162,126.38869312319078,84000900
2021-05-06,126.91694641113281,126.9267234439276,124.36373027215305,125.10719525066649,78128300
2021-05-07,127.59310150146484,128.62198708733197,126.87776196476985,128.22023845618241,78973300
2021-05-10,124.30060577392578,126.936537888107,124.2614087846363,126.80916075602343,88071200
2021-05-11,123.3794937133789,123.73225163919108,120.30259382458506,121.01792574395533,126142800
2021-05-12,120.3025894165039,122.13500921597532,119.79304356361403,120.91993258519142,112172300
2021-05-13,122.45838928222656,123.61467427312743,121.76265955967637,122.07622799062943,105861300
2021-05-14,124.88853454589844,125.31969391364765,123.32069249416574,123.71265487611407,81918000
2021-05-17,123.73225402832031,124.37899310292869,122.65436304670058,124.27120325716062,74244600
2021-05-18,122.34080505371094,124.43779545294035,122.27221218928985,124.01643714976464,63342900
2021-05-19,122.18402862548828,122.40940198347324,120.39080549827442,120.68477919902028,92612000
2021-05-20,124.75137329101562,125.15313686719469,122.58578986436477,122.71318196220793,76857100
2021-05-21,122.90913391113281,125.42748227973826,122.69355422979483,125.25109958373996,79295400
2021-05-24,124.54557800292969,125.36869980376578,123.40889524832689,123.4774881087248,63092900
2021-05-25,124.34961700439453,125.74108410482297,123.78127181380137,125.25112542502102,72009500
2021-05-26,124.30060577392578,124.82975391524182,123.87924748414049,124.40839562545654,56575900
2021-05-27,122.76213836669922,125.07470800508072,122.56616092997943,123.89882843264199,94625600
2021-05-28,122.10562896728516,123.27171512304146,122.04683722029289,123.0463342994687,71311100
2021-06-01,121.78223419189453,122.8307291605157,121.44907105983727,122.56615887776788,67637100
2021-06-02,122.54657745361328,122.72296016407643,121.5568815278501,121.78225486696007,59278900
2021-06-03,121.05712890625,122.34079850429373,120.65536538181918,122.17421691048338,76229200
2021-06-04,123.35990142822266,123.62447923898972,121.36089981512367,121.57647951987867,75169300
2021-06-07,123.36969757080078,123.78125473088885,122.32120243854156,123.63426789483995,71057600
2021-06-08,124.19279479980469,125.87823514834906,123.67344786315635,124.05560909865456,74403800
2021-06-09,124.5749740600586,125.1825161645287,123.97723307167732,124.6533680366472,56877900
2021-06-10,123.57547760009766,125.61367614452429,123.40889600611712,124.4671847907461,71186400
2021-06-11,124.79056549072266,124.8787605916924,123.56568752658902,123.98704584529345,53522400
