Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"NVDA","NVIDIA CORP","IT","Aktien","1.017.990.634,36","4,73","1.017.990.634,36","6.172.633,00","164,92","Vereinigte Staaten","NASDAQ","USD"
"MSFT","MICROSOFT CORP","IT","Aktien","899.579.809,44","4,18","899.579.809,44","1.787.292,00","503,32","Vereinigte Staaten","NASDAQ","USD"
"AAPL","APPLE INC","IT","Aktien","803.689.530,04","3,73","803.689.530,04","3.806.069,00","211,16","Vereinigte Staaten","NASDAQ","USD"
"AMZN","AMAZON COM INC","Zyklische Konsumgüter ","Aktien","545.011.491,16","2,53","545.011.491,16","2.422.058,00","225,02","Vereinigte Staaten","NASDAQ","USD"
"META","META PLATFORMS INC CLASS A","Kommunikation","Aktien","398.467.743,48","1,85","398.467.743,48","555.348,00","717,51","Vereinigte Staaten","NASDAQ","USD"
"NDIA","ISHARES MSCI INDIA UCITS ETF","Financials","Aktien","389.466.783,94","1,81","389.466.783,94","39.387.822,00","9,89","Irland","London Stock Exchange","USD"
"AVGO","BROADCOM INC","IT","Aktien","311.852.076,60","1,45","311.852.076,60","1.136.570,00","274,38","Vereinigte Staaten","NASDAQ","USD"
"GOOGL","ALPHABET INC CLASS A","Kommunikation","Aktien","261.898.957,40","1,22","261.898.957,40","1.453.460,00","180,19","Vereinigte Staaten","NASDAQ","USD"
"2330","TAIWAN SEMICONDUCTOR MANUFACTURING","IT","Aktien","233.541.010,54","1,08","233.541.010,54","6.202.000,00","37,66","Taiwan","Taiwan Stock Exchange","TWD"
"TSLA","TESLA INC","Zyklische Konsumgüter ","Aktien","230.997.616,61","1,07","230.997.616,61","736.811,00","313,51","Vereinigte Staaten","NASDAQ","USD"
"GOOG","ALPHABET INC CLASS C","Kommunikation","Aktien","230.506.111,47","1,07","230.506.111,47","1.271.337,00","181,31","Vereinigte Staaten","NASDAQ","USD"
"JPM","JPMORGAN CHASE & CO","Financials","Aktien","203.771.287,86","0,95","203.771.287,86","710.351,00","286,86","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Aktien","162.767.437,14","0,76","162.767.437,14","342.049,00","475,86","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"LLY","ELI LILLY","Gesundheitsversorgung","Aktien","162.184.819,18","0,75","162.184.819,18","204.518,00","793,01","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"V","VISA INC CLASS A","Financials","Aktien","150.514.170,07","0,70","150.514.170,07","432.599,00","347,93","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"NFLX","NETFLIX INC","Kommunikation","Aktien","134.570.243,69","0,62","134.570.243,69","108.079,00","1.245,11","Vereinigte Staaten","NASDAQ","USD"
"XOM","EXXON MOBIL CORP","Energie","Aktien","126.876.269,66","0,59","126.876.269,66","1.099.162,00","115,43","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"MA","MASTERCARD INC CLASS A","Financials","Aktien","114.057.815,80","0,53","114.057.815,80","207.310,00","550,18","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
