Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"SAP","SAP","IT","Aktien","261.476.231,40","2,58","261.476.231,40","983.733,00","265,80","Deutschland","Xetra","EUR"
"ASML","ASML HOLDING NV","IT","Aktien","241.233.953,00","2,38","241.233.953,00","371.015,00","650,20","Niederlande","Euronext Amsterdam","EUR"
"NESN","NESTLE SA","Nichtzyklische Konsumgüter","Aktien","203.177.156,24","2,00","203.177.156,24","2.468.214,00","82,32","Schweiz","SIX Swiss Exchange","CHF"
"ROG","ROCHE HOLDING PAR AG","Gesundheitsversorgung","Aktien","182.473.389,16","1,80","182.473.389,16","662.337,00","275,50","Schweiz","SIX Swiss Exchange","CHF"
"NOVN","NOVARTIS AG","Gesundheitsversorgung","Aktien","179.267.708,26","1,77","179.267.708,26","1.791.624,00","100,06","Schweiz","SIX Swiss Exchange","CHF"
"HSBA","HSBC HOLDINGS PLC","Financials","Aktien","178.989.767,14","1,76","178.989.767,14","16.583.011,00","10,79","Vereinigtes Königreich","London Stock Exchange","GBP"
"AZN","ASTRAZENECA PLC","Gesundheitsversorgung","Aktien","174.322.533,47","1,72","174.322.533,47","1.460.790,00","119,33","Vereinigtes Königreich","London Stock Exchange","GBP"
"NOVO B","NOVO NORDISK CLASS B","Gesundheitsversorgung","Aktien","172.368.322,39","1,70","172.368.322,39","3.034.039,00","56,81","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"SHEL","SHELL PLC","Energie","Aktien","170.402.392,51","1,68","170.402.392,51","5.643.893,00","30,19","Vereinigtes Königreich","London Stock Exchange","GBP"
"SIE","SIEMENS N AG","Industrie","Aktien","161.445.812,00","1,59","161.445.812,00","714.362,00","226,00","Deutschland","Xetra","EUR"
"ALV","ALLIANZ","Financials","Aktien","125.516.865,00","1,24","125.516.865,00","363.817,00","345,00","Deutschland","Xetra","EUR"
"MC","LVMH","Zyklische Konsumgüter ","Aktien","123.533.714,70","1,22","123.533.714,70","259.062,00","476,85","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"SU","SCHNEIDER ELECTRIC","Industrie","Aktien","123.511.767,75","1,22","123.511.767,75","515.169,00","239,75","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"ULVR","UNILEVER PLC","Nichtzyklische Konsumgüter","Aktien","120.388.983,49","1,19","120.388.983,49","2.347.276,00","51,29","Vereinigtes Königreich","London Stock Exchange","GBP"
"SAN","BANCO SANTANDER SA","Financials","Aktien","104.429.927,97","1,03","104.429.927,97","14.325.093,00","7,29","Spanien","Bolsa De Madrid","EUR"
"AIR","AIRBUS GROUP","Industrie","Aktien","103.734.195,84","1,02","103.734.195,84","559.878,00","185,28","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"TTE","TOTALENERGIES","Energie","Aktien","101.546.562,26","1,00","101.546.562,26","1.917.058,00","52,97","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"DTE","DEUTSCHE TELEKOM N AG","Kommunikation","Aktien","100.947.107,22","0,99","100.947.107,22","3.295.694,00","30,63","Deutschland","Xetra","EUR"
"SAF","SAFRAN SA","Industrie","Aktien","95.881.830,00","0,94","95.881.830,00","337.850,00","283,80","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"UBSG","UBS GROUP AG","Financials","Aktien","95.518.609,81","0,94","95.518.609,81","3.088.551,00","30,93","Schweiz","SIX Swiss Exchange","CHF"
"AI","LAIR LIQUIDE SOCIETE ANONYME POUR","Materialien","Aktien","95.223.255,54","0,94","95.223.255,54","547.323,00","173,98","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"RR.","ROLLS-ROYCE HOLDINGS PLC","Industrie","Aktien","93.023.055,82","0,92","93.023.055,82","7.958.778,00","11,69","Vereinigtes Königreich","London Stock Exchange","GBP"
"SPOT","SPOTIFY TECHNOLOGY SA","Kommunikation","Aktien","89.984.499,47","0,89","89.984.499,47","144.636,00","622,14","Schweden","New York Stock Exchange Inc.","USD"
