Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"NVDA","NVIDIA CORP","IT","Aktien","5.970.290.194,68","5,29","5.970.290.194,68","36.201.129,00","164,92","Vereinigte Staaten","NASDAQ","USD"
"MSFT","MICROSOFT CORP","IT","Aktien","5.273.771.860,40","4,67","5.273.771.860,40","10.477.970,00","503,32","Vereinigte Staaten","NASDAQ","USD"
"AAPL","APPLE INC","IT","Aktien","4.706.241.380,76","4,17","4.706.241.380,76","22.287.561,00","211,16","Vereinigte Staaten","NASDAQ","USD"
"AMZN","AMAZON COM INC","Zyklische Konsumgüter ","Aktien","3.188.665.261,72","2,82","3.188.665.261,72","14.170.586,00","225,02","Vereinigte Staaten","NASDAQ","USD"
"META","META PLATFORMS INC CLASS A","Kommunikation","Aktien","2.331.794.133,42","2,07","2.331.794.133,42","3.249.842,00","717,51","Vereinigte Staaten","NASDAQ","USD"
"AVGO","BROADCOM INC","IT","Aktien","1.818.399.945,90","1,61","1.818.399.945,90","6.627.305,00","274,38","Vereinigte Staaten","NASDAQ","USD"
"GOOGL","ALPHABET INC CLASS A","Kommunikation","Aktien","1.559.660.131,98","1,38","1.559.660.131,98","8.655.642,00","180,19","Vereinigte Staaten","NASDAQ","USD"
"TSLA","TESLA INC","Zyklische Konsumgüter ","Aktien","1.346.525.450,00","1,19","1.346.525.450,00","4.295.000,00","313,51","Vereinigte Staaten","NASDAQ","USD"
"GOOG","ALPHABET INC CLASS C","Kommunikation","Aktien","1.332.334.052,56","1,18","1.332.334.052,56","7.348.376,00","181,31","Vereinigte Staaten","NASDAQ","USD"
"JPM","JPMORGAN CHASE & CO","Financials","Aktien","1.193.352.803,58","1,06","1.193.352.803,58","4.160.053,00","286,86","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Aktien","945.999.211,08","0,84","945.999.211,08","1.987.978,00","475,86","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"LLY","ELI LILLY","Gesundheitsversorgung","Aktien","944.484.426,12","0,84","944.484.426,12","1.191.012,00","793,01","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"V","VISA INC CLASS A","Financials","Aktien","889.757.561,77","0,79","889.757.561,77","2.557.289,00","347,93","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"NFLX","NETFLIX INC","Kommunikation","Aktien","790.206.571,28","0,70","790.206.571,28","634.648,00","1.245,11","Vereinigte Staaten","NASDAQ","USD"
"XOM","EXXON MOBIL CORP","Energie","Aktien","740.756.788,24","0,66","740.756.788,24","6.417.368,00","115,43","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"MA","MASTERCARD INC CLASS A","Financials","Aktien","667.100.402,34","0,59","667.100.402,34","1.212.513,00","550,18","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"COST","COSTCO WHOLESALE CORP","Nichtzyklische Konsumgüter","Aktien","638.713.900,52","0,57","638.713.900,52","658.244,00","970,33","Vereinigte Staaten","NASDAQ","USD"
"WMT","WALMART INC","Nichtzyklische Konsumgüter","Aktien","618.583.564,80","0,55","618.583.564,80","6.552.792,00","94,40","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ORCL","ORACLE CORP","IT","Aktien","576.747.223,36","0,51","576.747.223,36","2.501.506,00","230,56","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"JNJ","JOHNSON & JOHNSON","Gesundheitsversorgung","Aktien","557.773.851,60","0,49","557.773.851,60","3.554.964,00","156,90","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
